"Criterion","Kept","Removed","Percentage_Removed","part_ID"
"Gaze points during the period of interest",10097,20738,67.25,"Guest06"
"Valid gaze points",9960,137,1.36,"Guest06"
"Gaze points inside the screen",9960,0,0,"Guest06"
"Fixations inside AOIs",312,112,1.12,"Guest06"
"Gaze points during the period of interest",9996,9720,49.3,"Guest07"
"Valid gaze points",9792,204,2.04,"Guest07"
"Gaze points inside the screen",9784,8,0.08,"Guest07"
"Fixations inside AOIs",129,187,1.91,"Guest07"
"Gaze points during the period of interest",10108,15443,60.44,"Guest09"
"Valid gaze points",9461,647,6.4,"Guest09"
"Gaze points inside the screen",9458,3,0.03,"Guest09"
"Fixations inside AOIs",310,142,1.5,"Guest09"
"Gaze points during the period of interest",10053,11153,52.59,"Guest10"
"Valid gaze points",9739,314,3.12,"Guest10"
"Gaze points inside the screen",9739,0,0,"Guest10"
"Fixations inside AOIs",251,131,1.35,"Guest10"
"Gaze points during the period of interest",10053,11898,54.2,"Guest11"
"Valid gaze points",9978,75,0.75,"Guest11"
"Gaze points inside the screen",9978,0,0,"Guest11"
"Fixations inside AOIs",107,256,2.57,"Guest11"
"Gaze points during the period of interest",10022,10264,50.6,"Guest12"
"Valid gaze points",9943,79,0.79,"Guest12"
"Gaze points inside the screen",9943,0,0,"Guest12"
"Fixations inside AOIs",357,148,1.49,"Guest12"
"Gaze points during the period of interest",10023,9443,48.51,"Guest13"
"Valid gaze points",9805,218,2.17,"Guest13"
"Gaze points inside the screen",9805,0,0,"Guest13"
"Fixations inside AOIs",287,121,1.23,"Guest13"
"Gaze points during the period of interest",10024,10363,50.83,"Guest14"
"Valid gaze points",9951,73,0.73,"Guest14"
"Gaze points inside the screen",9951,0,0,"Guest14"
"Fixations inside AOIs",25,307,3.09,"Guest14"
"Gaze points during the period of interest",10041,10833,51.9,"Guest15"
"Valid gaze points",9899,142,1.41,"Guest15"
"Gaze points inside the screen",9899,0,0,"Guest15"
"Fixations inside AOIs",350,118,1.19,"Guest15"
"Gaze points during the period of interest",10046,13204,56.79,"Guest17"
"Valid gaze points",10037,9,0.09,"Guest17"
"Gaze points inside the screen",10037,0,0,"Guest17"
"Fixations inside AOIs",100,313,3.12,"Guest17"
"Gaze points during the period of interest",9349,12481,57.17,"Guest19"
"Valid gaze points",4625,4724,50.53,"Guest19"
"Gaze points inside the screen",4624,1,0.02,"Guest19"
"Fixations inside AOIs",51,323,6.98,"Guest19"
"Gaze points during the period of interest",9992,11927,54.41,"Guest20"
"Valid gaze points",8725,1267,12.68,"Guest20"
"Gaze points inside the screen",8719,6,0.07,"Guest20"
"Fixations inside AOIs",172,259,2.97,"Guest20"
"Gaze points during the period of interest",10052,11752,53.9,"Guest21"
"Valid gaze points",9842,210,2.09,"Guest21"
"Gaze points inside the screen",9842,0,0,"Guest21"
"Fixations inside AOIs",217,183,1.86,"Guest21"
"Gaze points during the period of interest",10007,16827,62.71,"Guest22"
"Valid gaze points",9354,653,6.53,"Guest22"
"Gaze points inside the screen",9354,0,0,"Guest22"
"Fixations inside AOIs",130,337,3.6,"Guest22"
"Gaze points during the period of interest",10097,9697,48.99,"Students06"
"Valid gaze points",9574,523,5.18,"Students06"
"Gaze points inside the screen",9570,4,0.04,"Students06"
"Fixations inside AOIs",394,121,1.26,"Students06"
"Gaze points during the period of interest",10028,13142,56.72,"Students07"
"Valid gaze points",9914,114,1.14,"Students07"
"Gaze points inside the screen",9914,0,0,"Students07"
"Fixations inside AOIs",469,76,0.77,"Students07"
"Gaze points during the period of interest",10032,9070,47.48,"Students08"
"Valid gaze points",9782,250,2.49,"Students08"
"Gaze points inside the screen",9782,0,0,"Students08"
"Fixations inside AOIs",427,56,0.57,"Students08"
"Gaze points during the period of interest",10093,12122,54.57,"Students09"
"Valid gaze points",8283,1810,17.93,"Students09"
"Gaze points inside the screen",8283,0,0,"Students09"
"Fixations inside AOIs",443,72,0.87,"Students09"
"Gaze points during the period of interest",10033,9862,49.57,"Students10"
"Valid gaze points",9135,898,8.95,"Students10"
"Gaze points inside the screen",9135,0,0,"Students10"
"Fixations inside AOIs",166,183,2,"Students10"
"Gaze points during the period of interest",10071,9386,48.24,"Students11"
"Valid gaze points",9869,202,2.01,"Students11"
"Gaze points inside the screen",9869,0,0,"Students11"
"Fixations inside AOIs",315,139,1.41,"Students11"
"Gaze points during the period of interest",10057,11248,52.8,"Students12"
"Valid gaze points",9706,351,3.49,"Students12"
"Gaze points inside the screen",9633,73,0.75,"Students12"
"Fixations inside AOIs",409,57,0.59,"Students12"
"Gaze points during the period of interest",10024,8567,46.08,"Students13"
"Valid gaze points",9585,439,4.38,"Students13"
"Gaze points inside the screen",9529,56,0.58,"Students13"
"Fixations inside AOIs",75,340,3.55,"Students13"
